patch_id,dataset_class,subset,split,region_role,mountain_id,mountain_name,mountain_name_zh,mountain_name_en,block_id,block_group_id,request_id,processing_unit_id,processing_crs,utm_zone,row_off,col_off,height,width,stride,patch_size,hr_resolution_m,bbox_west,bbox_south,bbox_east,bbox_north,center_lon,center_lat,nodata_ratio,patch_block_coverage,status,warning,hr_path,lr_x2_path,lr_x4_path,lr_x6_path
core_train_000011,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,3429,96,96,96,96,30,83.19425706192445,29.10089090838553,83.22474562604204,29.127664289702565,83.2095031879806,29.114278204125483,0.0,1.0,sampled,,main/train/hr/core_train_000011.tif,main/train/lr/x2/core_train_000011.tif,main/train/lr/x4/core_train_000011.tif,main/train/lr/x6/core_train_000011.tif
core_train_000012,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,3717,96,96,96,96,30,83.28288111463448,29.10337850057614,83.31335125613774,29.130135052745707,83.29811803036554,29.11675738709877,0.0,1.0,sampled,,main/train/hr/core_train_000012.tif,main/train/lr/x2/core_train_000012.tif,main/train/lr/x4/core_train_000012.tif,main/train/lr/x6/core_train_000012.tif
core_train_000013,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,4005,96,96,96,96,30,83.37151621997324,29.105807744836525,83.40196784017989,29.13254739727596,83.3867438760153,29.11917818684861,0.0,1.0,sampled,,main/train/hr/core_train_000013.tif,main/train/lr/x2/core_train_000013.tif,main/train/lr/x4/core_train_000013.tif,main/train/lr/x6/core_train_000013.tif
core_train_000014,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,4101,96,96,96,96,30,83.40106366606781,29.106604522161103,83.43150909061555,29.13333852570181,83.4162882245951,29.11997214150824,0.0,1.0,sampled,,main/train/hr/core_train_000014.tif,main/train/lr/x2/core_train_000014.tif,main/train/lr/x4/core_train_000014.tif,main/train/lr/x6/core_train_000014.tif
core_train_000015,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,4197,96,96,96,96,30,83.43061230151724,29.107394812503305,83.46105151947236,29.134123159328283,83.44583375706036,29.120759605276763,0.0,1.0,sampled,,main/train/hr/core_train_000015.tif,main/train/lr/x2/core_train_000015.tif,main/train/lr/x4/core_train_000015.tif,main/train/lr/x6/core_train_000015.tif
core_train_000016,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,4293,96,96,96,96,30,83.46016211663638,29.10817861491394,83.49059511707294,29.134901297212565,83.47538046372983,29.1215405772082,0.0,1.0,sampled,,main/train/hr/core_train_000016.tif,main/train/lr/x2/core_train_000016.tif,main/train/lr/x4/core_train_000016.tif,main/train/lr/x6/core_train_000016.tif
core_train_000017,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,4389,96,96,96,96,30,83.48971310173772,29.10895592845153,83.52013987373766,29.13567293841963,83.50492833491992,29.12231505636425,0.0,1.0,sampled,,main/train/hr/core_train_000017.tif,main/train/lr/x2/core_train_000017.tif,main/train/lr/x4/core_train_000017.tif,main/train/lr/x6/core_train_000017.tif
core_train_000018,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,4485,96,96,96,96,30,83.51926524713144,29.109726752182315,83.54968577978447,29.13643808202213,83.5344773609447,29.12308304181441,0.0,1.0,sampled,,main/train/hr/core_train_000018.tif,main/train/lr/x2/core_train_000018.tif,main/train/lr/x4/core_train_000018.tif,main/train/lr/x6/core_train_000018.tif
core_train_000019,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,4581,96,96,96,96,30,83.54881854312535,29.11049108518027,83.57923282552913,29.13719672710052,83.56402753211596,29.12384453263585,0.0,1.0,sampled,,main/train/hr/core_train_000019.tif,main/train/lr/x2/core_train_000019.tif,main/train/lr/x4/core_train_000019.tif,main/train/lr/x6/core_train_000019.tif
core_train_000020,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,4677,96,96,96,96,30,83.57837298002498,29.11124892652708,83.60878100128505,29.13794887274293,83.59357883874317,29.124599527913503,0.0,1.0,sampled,,main/train/hr/core_train_000020.tif,main/train/lr/x2/core_train_000020.tif,main/train/lr/x4/core_train_000020.tif,main/train/lr/x6/core_train_000020.tif
core_train_000021,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,4773,96,96,96,96,30,83.60792854813359,29.11200027531217,83.63833029736341,29.13869451804527,83.62313127113353,29.125348026740014,0.0,1.0,sampled,,main/train/hr/core_train_000021.tif,main/train/lr/x2/core_train_000021.tif,main/train/lr/x4/core_train_000021.tif,main/train/lr/x6/core_train_000021.tif
core_train_000022,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,4869,96,96,96,96,30,83.63748523775217,29.1127451306327,83.66788070407314,29.13943366211118,83.65268481959204,29.126090028215792,0.0,1.0,sampled,,main/train/hr/core_train_000022.tif,main/train/lr/x2/core_train_000022.tif,main/train/lr/x4/core_train_000022.tif,main/train/lr/x6/core_train_000022.tif
core_train_000023,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,4965,96,96,96,96,30,83.66704303917949,29.11348349159353,83.69743221172097,29.14016630405206,83.68223947442138,29.12682553144897,0.0,1.0,sampled,,main/train/hr/core_train_000023.tif,main/train/lr/x2/core_train_000023.tif,main/train/lr/x4/core_train_000023.tif,main/train/lr/x6/core_train_000023.tif
core_train_000024,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,5061,96,96,96,96,30,83.69660194271201,29.11421535730732,83.72698481061141,29.140892442987063,83.7117952259221,29.12755453555544,0.0,1.0,sampled,,main/train/hr/core_train_000024.tif,main/train/lr/x2/core_train_000024.tif,main/train/lr/x4/core_train_000024.tif,main/train/lr/x6/core_train_000024.tif
core_train_000025,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,288,5253,96,96,96,96,30,83.75572301726785,29.115659599482942,83.78609324332729,29.14232520835474,83.77090998012878,29.12899304289048,0.0,1.0,sampled,,main/train/hr/core_train_000025.tif,main/train/lr/x2/core_train_000025.tif,main/train/lr/x4/core_train_000025.tif,main/train/lr/x6/core_train_000025.tif
core_train_000026,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,2277,96,96,96,96,30,82.84092083506972,29.064431824284974,82.87147337752455,29.091270979109414,82.85619894373197,29.07785198458523,0.0,1.0,sampled,,main/train/hr/core_train_000026.tif,main/train/lr/x2/core_train_000026.tif,main/train/lr/x4/core_train_000026.tif,main/train/lr/x6/core_train_000026.tif
core_train_000027,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,2373,96,96,96,96,30,82.8704378600521,29.065344228363536,82.90098441315139,29.092177882445053,82.8857129743961,29.07876164007931,0.0,1.0,sampled,,main/train/hr/core_train_000027.tif,main/train/lr/x2/core_train_000027.tif,main/train/lr/x4/core_train_000027.tif,main/train/lr/x6/core_train_000027.tif
core_train_000028,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,2469,96,96,96,96,30,82.8999562468564,29.066250170698968,82.93049679954274,29.093078316112287,82.91522836135091,29.079664829867465,0.0,1.0,sampled,,main/train/hr/core_train_000028.tif,main/train/lr/x2/core_train_000028.tif,main/train/lr/x4/core_train_000028.tif,main/train/lr/x6/core_train_000028.tif
core_train_000029,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,2661,96,96,96,96,30,82.9589970674105,29.06804266580384,82.98952558612824,29.09485977012958,82.97426316562715,29.081451808001685,0.0,1.0,sampled,,main/train/hr/core_train_000029.tif,main/train/lr/x2/core_train_000029.tif,main/train/lr/x4/core_train_000029.tif,main/train/lr/x6/core_train_000029.tif
core_train_000030,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,2757,96,96,96,96,30,82.9885194818934,29.06892921642413,83.01904196707031,29.09574078834284,83.0037825636891,29.082335594204736,0.0,1.0,sampled,,main/train/hr/core_train_000030.tif,main/train/lr/x2/core_train_000030.tif,main/train/lr/x4/core_train_000030.tif,main/train/lr/x6/core_train_000030.tif
core_train_000031,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,2949,96,96,96,96,30,83.04756827108396,29.07068291848493,83.07807865610327,29.097483401894056,83.06282530349222,29.08408375558279,0.0,1.0,sampled,,main/train/hr/core_train_000031.tif,main/train/lr/x2/core_train_000031.tif,main/train/lr/x4/core_train_000031.tif,main/train/lr/x6/core_train_000031.tif
core_train_000032,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,3141,96,96,96,96,30,83.10662227629405,29.072410747974715,83.13712051710435,29.0992001113217,83.12187323727908,29.0858060286128,0.0,1.0,sampled,,main/train/hr/core_train_000032.tif,main/train/lr/x2/core_train_000032.tif,main/train/lr/x4/core_train_000032.tif,main/train/lr/x6/core_train_000032.tif
core_train_000033,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,3333,96,96,96,96,30,83.16568142035122,29.074112696603272,83.19616747296125,29.10089090838553,83.18092628790728,29.087502405029504,0.0,1.0,sampled,,main/train/hr/core_train_000033.tif,main/train/lr/x2/core_train_000033.tif,main/train/lr/x4/core_train_000033.tif,main/train/lr/x6/core_train_000033.tif
core_train_000034,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,3621,96,96,96,96,30,83.2542796028598,29.07661707509856,83.28474729081832,29.10337850057614,83.26951528907794,29.089998395726745,0.0,1.0,sampled,,main/train/hr/core_train_000034.tif,main/train/lr/x2/core_train_000034.tif,main/train/lr/x4/core_train_000034.tif,main/train/lr/x6/core_train_000034.tif
core_train_000035,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,3717,96,96,96,96,30,83.28381481611268,29.07743891872968,83.31427636059085,29.10419473307557,83.29904743091488,29.090817435576376,0.0,1.0,sampled,,main/train/hr/core_train_000035.tif,main/train/lr/x2/core_train_000035.tif,main/train/lr/x4/core_train_000035.tif,main/train/lr/x6/core_train_000035.tif
core_train_000036,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,3813,96,96,96,96,30,83.31335125613774,29.078254286110138,83.34380664618342,29.105004481486464,83.32858079404537,29.091629995256195,0.0,1.0,sampled,,main/train/hr/core_train_000036.tif,main/train/lr/x2/core_train_000036.tif,main/train/lr/x4/core_train_000036.tif,main/train/lr/x6/core_train_000036.tif
core_train_000037,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,3909,96,96,96,96,30,83.34288891326956,29.079063176261258,83.37333813793833,29.105807744836525,83.35811536880789,29.092436073790704,0.0,1.0,sampled,,main/train/hr/core_train_000037.tif,main/train/lr/x2/core_train_000037.tif,main/train/lr/x4/core_train_000037.tif,main/train/lr/x6/core_train_000037.tif
core_train_000038,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,4101,96,96,96,96,30,83.40196784017989,29.080661520999254,83.43240470129236,29.107394812503305,83.41718811457079,29.094028783560315,0.0,1.0,sampled,,main/train/hr/core_train_000038.tif,main/train/lr/x2/core_train_000038.tif,main/train/lr/x4/core_train_000038.tif,main/train/lr/x6/core_train_000038.tif
core_train_000039,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,4197,96,96,96,96,30,83.43150909061555,29.08145097366728,83.46193975356415,29.10817861491394,83.44672626623608,29.09481541288291,0.0,1.0,sampled,,main/train/hr/core_train_000039.tif,main/train/lr/x2/core_train_000039.tif,main/train/lr/x4/core_train_000039.tif,main/train/lr/x6/core_train_000039.tif
core_train_000040,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,4293,96,96,96,96,30,83.46105151947236,29.08223394526824,83.49147597334368,29.10895592845153,83.47626559086326,29.09559555723524,0.0,1.0,sampled,,main/train/hr/core_train_000040.tif,main/train/lr/x2/core_train_000040.tif,main/train/lr/x4/core_train_000040.tif,main/train/lr/x6/core_train_000040.tif
core_train_000041,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,4389,96,96,96,96,30,83.49059511707294,29.083010434861965,83.52101335096137,29.109726752182315,83.50580607877889,29.09636921568033,0.0,1.0,sampled,,main/train/hr/core_train_000041.tif,main/train/lr/x2/core_train_000041.tif,main/train/lr/x4/core_train_000041.tif,main/train/lr/x6/core_train_000041.tif
core_train_000042,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,4485,96,96,96,96,30,83.52013987373766,29.08378044151601,83.5505518767454,29.11049108518027,83.5353477203072,29.097136387288923,0.0,1.0,sampled,,main/train/hr/core_train_000042.tif,main/train/lr/x2/core_train_000042.tif,main/train/lr/x4/core_train_000042.tif,main/train/lr/x6/core_train_000042.tif
core_train_000043,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,4581,96,96,96,96,30,83.54968577978447,29.08454396430561,83.58009154102163,29.11124892652708,83.56489050577014,29.09789707113949,0.0,1.0,sampled,,main/train/hr/core_train_000043.tif,main/train/lr/x2/core_train_000043.tif,main/train/lr/x4/core_train_000043.tif,main/train/lr/x6/core_train_000043.tif
core_train_000044,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,4677,96,96,96,96,30,83.57923282552913,29.085301002313724,83.6096323341137,29.11200027531217,83.59443442548736,29.098651266318225,0.0,1.0,sampled,,main/train/hr/core_train_000044.tif,main/train/lr/x2/core_train_000044.tif,main/train/lr/x4/core_train_000044.tif,main/train/lr/x6/core_train_000044.tif
core_train_000045,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,4773,96,96,96,96,30,83.60878100128505,29.08605155463105,83.63917424634289,29.1127451306327,83.62397946977623,29.09939897191903,0.0,1.0,sampled,,main/train/hr/core_train_000045.tif,main/train/lr/x2/core_train_000045.tif,main/train/lr/x4/core_train_000045.tif,main/train/lr/x6/core_train_000045.tif
core_train_000046,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,4869,96,96,96,96,30,83.63833029736341,29.086795620355986,83.66871726802835,29.11348349159353,83.65352562895193,29.10014018704357,0.0,1.0,sampled,,main/train/hr/core_train_000046.tif,main/train/lr/x2/core_train_000046.tif,main/train/lr/x4/core_train_000046.tif,main/train/lr/x6/core_train_000046.tif
core_train_000047,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,4965,96,96,96,96,30,83.66788070407314,29.087533198594667,83.69826138948696,29.11421535730732,83.68307289332733,29.100874910801213,0.0,1.0,sampled,,main/train/hr/core_train_000047.tif,main/train/lr/x2/core_train_000047.tif,main/train/lr/x4/core_train_000047.tif,main/train/lr/x6/core_train_000047.tif
core_train_000048,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,5061,96,96,96,96,30,83.69743221172097,29.088264288460937,83.72780660103344,29.114940726894424,83.71262125321317,29.10160314230906,0.0,1.0,sampled,,main/train/hr/core_train_000048.tif,main/train/lr/x2/core_train_000048.tif,main/train/lr/x4/core_train_000048.tif,main/train/lr/x6/core_train_000048.tif
core_train_000049,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,5349,96,96,96,96,30,83.78609324332729,29.09041861907984,83.81644867931433,29.11707785021541,83.80127280900756,29.10374887462098,0.0,1.0,sampled,,main/train/hr/core_train_000049.tif,main/train/lr/x2/core_train_000049.tif,main/train/lr/x4/core_train_000049.tif,main/train/lr/x6/core_train_000049.tif
core_train_000050,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,5445,96,96,96,96,30,83.81564905775092,29.091123746749684,83.8459981543159,29.11777722665432,83.83082545399867,29.10445112845549,0.0,1.0,sampled,,main/train/hr/core_train_000050.tif,main/train/lr/x2/core_train_000050.tif,main/train/lr/x4/core_train_000050.tif,main/train/lr/x6/core_train_000050.tif
core_train_000051,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,5541,96,96,96,96,30,83.8452059246136,29.091822381732392,83.87554867094651,29.11847010268457,83.86037914602124,29.10514688574186,0.0,1.0,sampled,,main/train/hr/core_train_000051.tif,main/train/lr/x2/core_train_000051.tif,main/train/lr/x4/core_train_000051.tif,main/train/lr/x6/core_train_000051.tif
core_train_000052,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,5637,96,96,96,96,30,83.8747638342091,29.09251452318825,83.90510021950809,29.11915647747302,83.8899338753732,29.10583614564364,0.0,1.0,sampled,,main/train/hr/core_train_000052.tif,main/train/lr/x2/core_train_000052.tif,main/train/lr/x4/core_train_000052.tif,main/train/lr/x6/core_train_000052.tif
core_train_000053,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,5829,96,96,96,96,30,83.93388274276344,29.093879322199225,83.96420637362156,29.12050972003081,83.94904640724624,29.10719516998646,0.0,1.0,sampled,,main/train/hr/core_train_000053.tif,main/train/lr/x2/core_train_000053.tif,main/train/lr/x4/core_train_000053.tif,main/train/lr/x6/core_train_000053.tif
core_train_000054,core,core_train,train,core_train,C01,喜马拉雅中东段,喜马拉雅中东段,Central-Eastern Himalaya,GM_DEMSR_0001,C01_G01,req0011,req0011_partp1,EPSG:32645,45,384,5925,96,96,96,96,30,83.96344372229952,29.09455197811365,83.99376095976704,29.12117658617268,83.97860419035274,29.10786493279342,0.0,1.0,sampled,,main/train/hr/core_train_000054.tif,main/train/lr/x2/core_train_000054.tif,main/train/lr/x4/core_train_000054.tif,main/train/lr/x6/core_train_000054.tif
